row_count,duplicate_rate,null_member_rate,invalid_amount_rate,invalid_status_rate,invalid_timestamp_rate,mean_amount,p95_amount,freshness_hours
1004,0.003,0.006,0.001,0.002,0.001,248.4,704.2,1.2
992,0.004,0.005,0.002,0.001,0.001,252.1,711.8,0.9
1018,0.002,0.007,0.001,0.002,0.000,246.9,698.5,1.5
987,0.005,0.004,0.001,0.003,0.001,255.2,720.1,1.1
1009,0.003,0.006,0.000,0.001,0.002,249.7,706.4,0.8
1022,0.004,0.005,0.001,0.002,0.001,251.6,715.0,1.3
995,0.002,0.008,0.002,0.001,0.000,247.8,702.9,1.0
1011,0.003,0.006,0.001,0.002,0.001,253.3,718.6,1.4
979,0.005,0.005,0.001,0.003,0.002,250.4,709.3,1.2
1001,0.004,0.007,0.000,0.001,0.001,245.9,695.7,0.7
1015,0.003,0.004,0.001,0.002,0.001,254.1,722.4,1.0
990,0.002,0.006,0.002,0.001,0.000,248.8,705.1,1.6
1007,0.004,0.005,0.001,0.002,0.001,252.7,714.6,1.1
1025,0.003,0.007,0.001,0.003,0.002,249.2,708.8,0.9
983,0.005,0.004,0.000,0.001,0.001,256.0,725.3,1.3
998,0.002,0.006,0.001,0.002,0.000,247.1,700.4,1.2
1013,0.003,0.005,0.002,0.001,0.001,251.9,716.7,0.8
1005,0.004,0.008,0.001,0.002,0.002,250.8,712.5,1.4
976,0.003,0.006,0.001,0.003,0.001,246.5,697.9,1.0
1020,0.005,0.005,0.000,0.001,0.001,253.8,721.2,1.5
989,0.002,0.004,0.001,0.002,0.000,249.9,707.6,0.9
1003,0.004,0.007,0.002,0.001,0.001,252.4,713.9,1.1
1017,0.003,0.006,0.001,0.002,0.002,248.1,703.5,1.3
981,0.005,0.005,0.001,0.003,0.001,255.5,724.0,0.8
996,0.002,0.008,0.000,0.001,0.000,247.5,701.2,1.2
1010,0.003,0.004,0.001,0.002,0.001,251.2,710.7,1.0
1024,0.004,0.006,0.002,0.001,0.002,250.1,709.9,1.4
985,0.003,0.005,0.001,0.002,0.001,246.7,699.6,1.1
1006,0.005,0.007,0.001,0.003,0.000,254.6,723.1,0.7
994,0.002,0.006,0.000,0.001,0.001,249.5,706.9,1.3

